subpops; biggest_subpop; best; avg; dev; iterations; ffe; time
14; 16384; 9; 16.2576; 1.40198; 416; 1015352; 103.115s
14; 16384; 8; 15.7205; 1.21888; 632; 1005169; 105.249s
13; 8192; 9; 16.1782; 1.30688; 636; 1002321; 103.344s
14; 16384; 8; 15.6467; 1.19105; 536; 1033468; 104.536s
14; 16384; 9; 15.8831; 1.35831; 490; 1026922; 103.825s
14; 16384; 9; 15.5721; 1.32424; 572; 1010154; 103.56s
10; 1024; 7; 14.4372; 1.32589; 351; 109071; 12.2831s
13; 8192; 9; 15.2945; 1.59412; 731; 1002617; 102.695s
14; 16384; 9; 15.9505; 1.15489; 522; 1008879; 103.317s
14; 16384; 9; 16.0482; 1.14508; 393; 1007423; 101.106s
15; 32768; 9; 15.8237; 1.28634; 481; 1017565; 101.734s
14; 16384; 9; 15.7132; 1.34029; 567; 1003951; 101.855s
14; 16384; 9; 16.6447; 1.42208; 893; 1000424; 100.087s
14; 16384; 9; 15.2329; 1.31933; 567; 1011699; 105.48s
14; 16384; 8; 15.6712; 1.36386; 588; 1004624; 100.511s
13; 8192; 9; 16.8084; 1.60436; 698; 1012316; 95.5608s
14; 16384; 9; 16.6555; 1.49273; 381; 1006009; 96.9388s
14; 16384; 9; 16.236; 1.37962; 453; 1003295; 96.9398s
14; 16384; 10; 16.1313; 1.42573; 396; 1006937; 97.4297s
14; 16384; 9; 16.4022; 1.31422; 465; 1003957; 94.0917s
